Cylinders,Displacement,Horsepower,Weight,Acceleration,Model year,Origin,MPG,Binary Classes
8,440,215,4735,11,73,North America,13,Low Level
8,455,225,4951,11,73,North America,12,Low Level
8,360,175,3821,11,73,North America,13,Low Level
6,225,105,3121,16.5,73,North America,18,Low Level
6,250,100,3278,18,73,North America,16,Low Level
6,232,100,2945,16,73,North America,18,Low Level
6,250,88,3021,16.5,73,North America,18,Low Level
6,198,95,2904,16,73,North America,23,Low Level
4,97,46,1950,21,73,Europe,26,High Level
8,400,150,4997,14,73,North America,11,Low Level
8,400,167,4906,12.5,73,North America,12,Low Level
8,360,170,4654,13,73,North America,13,Low Level
8,350,180,4499,12.5,73,North America,12,Low Level
6,232,100,2789,15,73,North America,18,Low Level
4,97,88,2279,19,73,Asia,20,Low Level
4,140,72,2401,19.5,73,North America,21,Low Level
4,108,94,2379,16.5,73,Asia,22,Low Level
3,70,90,2124,13.5,73,Asia,18,Low Level
4,122,85,2310,18.5,73,North America,19,Low Level
6,155,107,2472,14,73,North America,21,Low Level
4,98,90,2265,15.5,73,Europe,26,High Level
8,350,145,4082,,73,North America,15,Low Level
8,400,230,4278,9.5,73,North America,16,Low Level
4,68,49,1867,19.5,73,Europe,29,High Level
4,116,75,2158,15.5,73,Europe,24,High Level
4,114,91,2582,14,73,Europe,20,Low Level
4,,112,2868,15.5,73,Europe,19,Low Level
8,318,150,3399,11,73,North America,15,Low Level
4,121,110,2660,14,73,Europe,24,High Level
6,156,122,2807,13.5,73,Asia,20,Low Level
8,350,180,3664,11,73,North America,11,Low Level
6,198,95,3102,,74,North America,20,Low Level
6,200,,2875,17,74,North America,21,Low Level
6,232,100,2901,16,74,North America,19,Low Level
6,250,100,3336,17,74,North America,15,Low Level
4,79,67,1950,19,74,Asia,31,High Level
4,122,80,2451,16.5,74,North America,26,High Level
4,71,65,1836,,74,Asia,32,High Level
4,140,75,2542,17,74,North America,25,High Level
6,250,100,3781,17,74,North America,16,Low Level
6,258,110,3632,18,74,North America,16,Low Level
6,225,105,3613,16.5,74,North America,18,Low Level
8,302,140,4141,,74,North America,16,Low Level
8,350,150,4699,14.5,74,North America,13,Low Level
8,,150,4457,13.5,74,North America,14,Low Level
8,302,140,4638,16,74,North America,14,Low Level
8,304,150,4257,15.5,74,North America,14,Low Level
4,98,83,2219,16.5,74,Europe,29,High Level
4,79,67,1963,15.5,74,Europe,26,High Level
4,97,78,2300,14.5,74,Europe,26,High Level
4,76,52,1649,16.5,74,Asia,31,High Level
4,83,61,2003,19,74,Asia,32,High Level
4,,75,2125,14.5,74,North America,28,High Level
4,90,75,2108,15.5,74,Europe,24,High Level
4,116,75,2246,14,74,Europe,26,High Level
4,120,97,2489,,74,Asia,24,High Level
4,108,93,2391,15.5,74,Asia,26,High Level
4,79,67,2000,16,74,Europe,31,High Level
6,225,95,3264,16,75,North America,19,Low Level
6,250,105,3459,16,75,North America,18,Low Level
6,250,72,3432,21,75,North America,15,Low Level
6,250,72,3158,19.5,75,North America,15,Low Level
8,400,170,4668,11.5,75,North America,16,Low Level
8,350,145,4440,14,75,North America,15,Low Level
8,318,150,4498,14.5,75,North America,16,Low Level
8,351,148,4657,13.5,75,North America,14,Low Level
6,231,110,3907,21,75,North America,17,Low Level
6,250,105,3897,18.5,75,North America,16,Low Level
6,258,110,3730,19,75,North America,15,Low Level
6,225,95,3785,19,75,North America,18,Low Level
6,231,110,3039,15,75,North America,21,Low Level
8,262,110,3221,13.5,75,North America,20,Low Level
8,302,129,3169,12,75,North America,13,Low Level
4,97,75,2171,16,75,Asia,29,High Level
4,140,83,2639,17,75,North America,23,Low Level
6,232,100,2914,16,75,North America,20,Low Level
4,140,78,2592,18.5,75,North America,23,Low Level
4,134,96,2702,13.5,75,Asia,24,High Level
4,90,71,2223,16.5,75,Europe,25,High Level
4,119,97,2545,17,75,Asia,24,High Level
6,171,97,2984,14.5,75,North America,18,Low Level
4,90,70,1937,14,75,Europe,29,High Level
6,232,90,3211,17,75,North America,19,Low Level
4,115,95,2694,15,75,Europe,23,Low Level
4,120,88,2957,17,75,Europe,23,Low Level
4,121,98,2945,14.5,75,Europe,22,Low Level
4,121,115,2671,13.5,75,Europe,25,High Level
4,91,53,1795,17.5,75,Asia,33,High Level
4,107,86,2464,15.5,76,Europe,28,High Level
4,116,81,2220,16.9,76,Europe,25,High Level
4,140,92,2572,14.9,76,North America,25,High Level
4,98,79,2255,17.7,76,North America,26,High Level
4,101,83,2202,15.3,76,Europe,27,High Level
8,305,140,4215,13,76,North America,17.5,Low Level
8,318,150,4190,13,76,North America,16,Low Level
8,304,120,3962,13.9,76,North America,15.5,Low Level
8,351,152,4215,12.8,76,North America,14.5,Low Level
6,225,100,3233,15.4,76,North America,22,Low Level
6,250,105,3353,14.5,76,North America,22,Low Level
6,200,81,3012,17.6,76,North America,24,High Level
6,232,90,3085,17.6,76,North America,22.5,Low Level
4,85,52,2035,22.2,76,North America,29,High Level
4,98,60,2164,22.1,76,North America,24.5,High Level
4,90,70,1937,14.2,76,Europe,29,High Level
4,91,53,1795,17.4,76,Asia,33,High Level
6,225,100,3651,17.7,76,North America,20,Low Level
6,250,78,3574,21,76,North America,18,Low Level
6,250,110,,16.2,76,North America,18.5,Low Level
6,258,95,3193,17.8,76,North America,17.5,Low Level
4,97,71,1825,12.2,76,Europe,29.5,High Level
4,85,70,1990,17,76,Asia,32,High Level
4,97,75,2155,16.4,76,Asia,28,High Level
4,140,72,2565,13.6,76,North America,26.5,High Level
4,130,102,3150,15.7,76,Europe,20,Low Level
8,318,150,3940,13.2,76,North America,13,Low Level
4,120,88,3270,21.9,76,Europe,19,Low Level
6,156,108,2930,15.5,76,Asia,19,Low Level
6,168,120,3820,16.7,76,Europe,16.5,Low Level
8,350,180,4380,12.1,76,North America,16.5,Low Level
8,350,145,4055,12,76,North America,13,Low Level
8,302,130,3870,15,76,North America,13,Low Level
8,318,150,3755,14,76,North America,13,Low Level
4,98,68,2045,18.5,77,Asia,31.5,High Level
4,111,80,2155,14.8,77,North America,30,High Level
4,79,58,1825,18.6,77,Europe,36,High Level
4,122,96,2300,15.5,77,North America,25.5,High Level
4,85,70,1945,16.8,77,Asia,33.5,High Level
8,305,145,3880,12.5,77,North America,17.5,Low Level
8,260,110,4060,19,77,North America,17,Low Level
8,318,145,4140,13.7,77,North America,15.5,Low Level
8,302,130,4295,14.9,77,North America,15,Low Level
6,250,110,3520,16.4,77,North America,17.5,Low Level
6,231,105,3425,16.9,77,North America,20.5,Low Level
6,225,100,3630,17.7,77,North America,19,Low Level
6,250,98,3525,19,77,North America,18.5,Low Level
8,,180,4220,11.1,77,North America,16,Low Level
8,350,170,4165,11.4,77,North America,15.5,Low Level
8,400,190,4325,12.2,77,North America,15.5,Low Level
8,351,149,4335,14.5,77,North America,16,Low Level
4,97,78,1940,14.5,77,Europe,29,High Level
4,151,88,2740,16,77,North America,24.5,High Level
4,97,75,2265,18.2,77,Asia,26,High Level
4,140,89,2755,15.8,77,North America,25.5,High Level
4,98,63,2051,17,77,North America,30.5,High Level
4,98,83,2075,15.9,77,North America,33.5,High Level
4,97,67,1985,16.4,77,Asia,30,High Level
4,97,78,2190,14.1,77,Europe,30.5,High Level
6,146,97,2815,14.5,77,Asia,22,Low Level
4,121,110,2600,12.8,77,Europe,21.5,Low Level
3,80,110,2720,13.5,77,Asia,21.5,Low Level
4,90,48,1985,21.5,78,Europe,43.1,High Level
4,98,66,1800,14.4,78,North America,36.1,High Level
4,78,52,1985,19.4,78,Asia,32.8,High Level
4,85,70,2070,18.6,78,Asia,39.4,High Level
4,91,60,1800,16.4,78,Asia,36.1,High Level
8,260,110,3365,15.5,78,North America,19.9,Low Level
8,318,140,3735,13.2,78,North America,19.4,Low Level
8,302,139,3570,12.8,78,North America,20.2,Low Level
6,231,105,3535,19.2,78,North America,19.2,Low Level
6,200,95,3155,18.2,78,North America,20.5,Low Level
6,200,85,2965,15.8,78,North America,20.2,Low Level
4,140,88,2720,15.4,78,North America,25.1,High Level
6,225,100,3430,17.2,78,North America,20.5,Low Level
6,232,90,3210,17.2,78,North America,19.4,Low Level
6,231,105,3380,15.8,78,North America,20.6,Low Level
6,200,85,3070,16.7,78,North America,20.8,Low Level
6,225,110,3620,18.7,78,North America,18.6,Low Level
6,258,120,3410,15.1,78,North America,18.1,Low Level
8,305,,3425,13.2,78,North America,19.2,Low Level
6,231,165,3445,13.4,78,North America,17.7,Low Level
8,302,139,3205,11.2,78,North America,18.1,Low Level
8,318,140,4080,13.7,78,North America,17.5,Low Level
4,98,68,2155,16.5,78,North America,30,High Level
4,134,95,2560,14.2,78,Asia,27.5,High Level
4,119,97,,14.7,78,Asia,27.2,High Level
4,105,75,2230,14.5,78,North America,30.9,High Level
4,134,95,2515,14.8,78,Asia,21.1,Low Level
4,156,105,2745,16.7,78,North America,23.2,High Level
4,151,85,2855,17.6,78,North America,23.8,High Level
4,119,97,2405,14.9,78,Asia,23.9,High Level
5,131,103,2830,15.9,78,Europe,20.3,Low Level
6,163,125,3140,13.6,78,Europe,17,Low Level
4,121,115,2795,15.7,78,Europe,21.6,Low Level
6,163,133,3410,15.8,78,Europe,16.2,Low Level
4,89,71,1990,14.9,78,Europe,31.5,High Level
4,98,68,2135,16.6,78,Asia,29.5,High Level
6,231,115,3245,15.4,79,North America,21.5,Low Level
6,200,85,2990,18.2,79,North America,19.8,Low Level
4,140,88,2890,17.3,79,North America,22.3,Low Level
6,232,90,3265,18.2,79,North America,20.2,Low Level
6,225,110,3360,16.6,79,North America,20.6,Low Level
8,305,130,3840,15.4,79,North America,17,Low Level
8,302,129,3725,13.4,79,North America,17.6,Low Level
8,351,138,3955,13.2,79,North America,16.5,Low Level
8,318,135,3830,15.2,79,North America,18.2,Low Level
8,350,155,4360,14.9,79,North America,16.9,Low Level
8,351,142,4054,14.3,79,North America,15.5,Low Level
8,267,125,3605,15,79,North America,19.2,Low Level
8,360,150,3940,13,79,North America,18.5,Low Level
4,89,71,1925,14,79,Europe,31.9,High Level
4,86,65,1975,15.2,79,Asia,34.1,High Level
4,98,80,1915,14.4,79,North America,35.7,High Level
4,121,80,2670,15,79,North America,27.4,High Level
5,183,77,3530,20.1,79,Europe,25.4,High Level
8,350,125,3900,17.4,79,North America,23,Low Level
4,141,71,3190,24.8,79,Europe,27.2,High Level
8,260,90,3420,22.2,79,North America,23.9,High Level
4,105,70,2200,13.2,79,North America,34.2,High Level
4,105,70,2150,14.9,79,North America,34.5,High Level
4,85,65,2020,19.2,79,Asia,31.8,High Level
4,91,69,2130,14.7,79,Europe,37.3,High Level
4,151,90,2670,16,79,North America,28.4,High Level
6,173,115,2595,11.3,79,North America,28.8,High Level
6,173,115,2700,12.9,79,North America,26.8,High Level
4,151,90,2556,13.2,79,North America,33.5,High Level
4,98,76,2144,14.7,80,Europe,41.5,High Level
4,89,60,1968,18.8,80,Asia,38.1,High Level
4,98,70,2120,15.5,80,North America,32.1,High Level
4,86,65,2019,16.4,80,Asia,37.2,High Level
4,,90,2678,16.5,80,North America,28,High Level
4,140,88,2870,18.1,80,North America,26.4,High Level
4,151,90,3003,20.1,80,North America,24.3,High Level
6,225,90,3381,18.7,80,North America,19.1,Low Level
4,97,78,2188,15.8,80,Europe,34.3,High Level
4,134,90,2711,15.5,80,Asia,29.8,High Level
4,120,75,2542,17.5,80,Asia,31.3,High Level
4,119,92,2434,15,80,Asia,37,High Level
4,108,75,2265,15.2,80,Asia,32.2,High Level
4,86,65,2110,17.9,80,Asia,46.6,High Level
4,156,105,2800,14.4,80,North America,27.9,High Level
4,85,65,2110,19.2,80,Asia,40.8,High Level
4,90,48,2085,21.7,80,Europe,44.3,High Level
4,90,48,2335,23.7,80,Europe,43.4,High Level
5,121,67,2950,19.9,80,Europe,36.4,High Level
4,146,67,3250,21.8,80,Europe,30,High Level
4,91,67,1850,13.8,80,Asia,44.6,High Level
4,85,,1835,17.3,80,Europe,40.9,High Level
4,97,67,2145,18,80,Asia,33.8,High Level
4,89,62,1845,15.3,80,Europe,29.8,High Level
6,168,132,2910,11.4,80,Asia,32.7,High Level
3,70,100,2420,12.5,80,Asia,23.7,High Level
4,122,88,2500,15.1,80,Europe,35,High Level
4,140,,2905,14.3,80,North America,23.6,High Level
4,107,72,2290,17,80,Asia,32.4,High Level
4,135,84,2490,15.7,81,North America,27.2,High Level
4,151,84,2635,16.4,81,North America,26.6,High Level
4,156,92,2620,14.4,81,North America,25.8,High Level
6,173,110,2725,12.6,81,North America,23.5,High Level
4,135,84,2385,12.9,81,North America,30,High Level
4,79,58,1755,16.9,81,Asia,39.1,High Level
4,86,64,1875,16.4,81,North America,39,High Level
4,81,60,1760,16.1,81,Asia,35.1,High Level
4,97,67,2065,17.8,81,Asia,32.3,High Level
4,85,65,1975,19.4,81,Asia,37,High Level
4,89,62,2050,17.3,81,Asia,37.7,High Level
4,91,68,1985,16,81,Asia,34.1,High Level
4,105,63,2215,14.9,81,North America,34.7,High Level
4,98,65,2045,16.2,81,North America,34.4,High Level
4,98,65,2380,20.7,81,North America,29.9,High Level
4,105,74,2190,14.2,81,Europe,33,High Level
4,100,,2320,15.8,81,Europe,34.5,High Level
4,107,75,2210,14.4,81,Asia,33.7,High Level
4,108,75,2350,16.8,81,Asia,32.4,High Level
4,119,100,2615,14.8,81,Asia,32.9,High Level
4,120,74,2635,18.3,81,Asia,31.6,High Level
4,141,80,3230,20.4,81,Europe,28.1,High Level
6,145,76,3160,19.6,81,Europe,30.7,High Level
6,168,116,2900,12.6,81,Asia,25.4,High Level
6,146,120,2930,13.8,81,Asia,24.2,High Level
6,231,,3415,15.8,81,North America,22.4,Low Level
8,350,105,3725,19,81,North America,26.6,High Level
6,200,88,3060,17.1,81,North America,20.2,Low Level
6,225,85,,16.6,81,North America,17.6,Low Level
4,112,88,2605,19.6,82,North America,28,High Level
4,112,88,2640,18.6,82,North America,27,High Level
4,112,88,2395,18,82,North America,34,High Level
4,112,85,2575,16.2,82,North America,31,High Level
4,,84,2525,16,82,North America,29,High Level
4,151,90,2735,18,82,North America,27,High Level
4,140,92,,16.4,82,North America,24,High Level
4,151,,3035,20.5,82,North America,23,Low Level
4,105,74,1980,15.3,82,Europe,36,High Level
4,91,68,2025,18.2,82,Asia,37,High Level
4,91,68,1970,,82,Asia,31,High Level
4,105,63,2125,14.7,82,North America,38,High Level
4,98,70,2125,17.3,82,North America,36,High Level
4,120,88,2160,14.5,82,Asia,36,High Level
4,107,75,,14.5,82,Asia,36,High Level
4,108,70,2245,16.9,82,Asia,34,High Level
4,,67,1965,15,82,Asia,38,High Level
4,91,67,1965,15.7,82,Asia,32,High Level
4,91,67,1995,16.2,82,Asia,38,High Level
6,181,110,2945,16.4,82,North America,25,High Level
6,262,85,3015,17,82,North America,38,High Level
4,156,92,2585,14.5,82,North America,26,High Level
6,232,112,2835,14.7,82,North America,22,Low Level
4,144,96,2665,13.9,82,Asia,32,High Level
4,135,84,2370,13,82,North America,36,High Level
4,151,90,2950,17.3,82,North America,27,High Level
4,140,86,2790,15.6,82,North America,27,High Level
4,97,52,2130,24.6,82,Europe,44,High Level
4,135,84,2295,11.6,82,North America,32,High Level
4,120,79,2625,18.6,82,North America,28,High Level
4,119,82,2720,19.4,82,North America,31,High Level
